humidity,weather,device_id,created_at,switch_id,updated_at,id,status,days,is_motion,light_intensity,time_minutes,temperature
63.7542,2,1,5/6/2020 12:00,2,,71678,FALSE,3,TRUE,19.1667,720,31.675
52.2167,2,1,5/6/2020 12:01,2,,71680,FALSE,3,TRUE,22.4653,721,28.5958
52.4759,2,1,5/6/2020 12:02,2,,71682,FALSE,3,TRUE,22.5,722,28.5448
52.4409,2,1,5/6/2020 12:03,2,,71684,FALSE,3,FALSE,22.5,723,28.4955
52.7208,2,1,5/6/2020 12:04,2,,71686,FALSE,3,TRUE,22.4653,724,28.4208
52.7222,2,1,5/6/2020 12:05,2,,71688,FALSE,3,TRUE,22.284,725,28.4
52.775,2,1,5/6/2020 12:06,2,,71690,FALSE,3,FALSE,22.5,726,28.4
52.5913,2,1,5/6/2020 12:07,2,,71692,FALSE,3,TRUE,22.5,727,28.3696
52.75,2,1,5/6/2020 12:08,2,,71694,FALSE,3,TRUE,22.4537,728,28.3
52.8133,2,1,5/6/2020 12:09,2,,71696,FALSE,3,TRUE,22.3056,729,28.2967
52.7208,2,1,5/6/2020 12:10,2,,71698,FALSE,3,TRUE,22.4653,730,28.3042
52.572,2,1,5/6/2020 12:12,2,,71700,FALSE,3,TRUE,22.5,732,28.3
52.4345,2,1,5/6/2020 12:13,2,,71702,FALSE,3,TRUE,22.5,733,28.3345
52.5261,2,1,5/6/2020 12:14,2,,71704,FALSE,3,TRUE,22.4638,734,28.3478
52.5185,2,1,5/6/2020 12:15,2,,71706,FALSE,3,TRUE,22.5,735,28.3333
52.4579,2,1,5/6/2020 12:16,2,,71708,FALSE,3,TRUE,22.5439,736,28.3
52.3704,2,1,5/6/2020 12:17,2,,71710,FALSE,3,TRUE,22.5617,737,28.3
52.2208,2,1,5/6/2020 12:18,2,,71712,FALSE,3,FALSE,22.5,738,28.3
51.9667,2,1,5/6/2020 12:20,2,,71714,FALSE,3,FALSE,22.5,740,28.3
51.6483,2,1,5/6/2020 12:21,2,,71716,FALSE,3,TRUE,22.5,741,28.3
51.488,2,1,5/6/2020 12:22,2,,71718,FALSE,3,TRUE,22.3667,742,28.3
51.3522,2,1,5/6/2020 12:23,2,,71720,FALSE,3,TRUE,22.5,743,28.3
51.2375,2,1,5/6/2020 12:24,2,,71722,FALSE,3,TRUE,22.0486,744,28.2833
51.425,2,1,5/6/2020 12:25,2,,71724,FALSE,3,TRUE,20.9821,745,28.3536
