created_at,status,days,weather,temperature,humidity,light_intensity,time_minutes,is_motion
3/17/2020 9:25,True,2,7,30.35,74.2,38.3333,565,False
3/17/2020 9:32,False,2,7,31.0,71.4,53.3333,572,False
3/17/2020 9:32,False,2,7,31.0,71.5,53.3333,572,False
3/17/2020 9:33,True,2,7,31.0125,71.9375,43.2292,573,True
3/17/2020 9:33,False,2,7,31.0864,71.3,53.3712,573,True
3/17/2020 9:34,False,2,7,31.1,70.3125,46.0417,574,True
3/17/2020 9:34,False,2,7,31.1,70.3727,53.3333,574,False
3/17/2020 9:35,False,2,7,31.1333,70.2333,53.3333,575,False
3/17/2020 9:35,False,2,7,31.15,70.2333,53.3333,575,False
3/17/2020 9:36,False,2,7,31.2,69.9125,53.3333,576,False
3/17/2020 9:36,False,2,7,31.2125,69.1,52.2917,576,True
3/17/2020 9:37,True,2,7,31.26,69.1267,60.6111,577,False
3/17/2020 9:37,True,2,7,31.2833,68.9667,66.6667,577,False
3/17/2020 9:37,True,2,7,31.3,68.575,66.6667,577,True
3/17/2020 9:38,True,2,7,31.3,68.7167,66.3889,578,False
3/17/2020 9:38,True,2,7,31.3,68.9,65.8333,578,False
3/17/2020 9:38,True,2,7,31.3,68.85,65.8333,578,False
3/17/2020 9:39,True,2,7,31.3,68.85,63.75,579,False
3/17/2020 9:39,True,2,7,31.4,68.95,62.5,579,False
3/17/2020 9:39,True,2,7,31.4,69.0,62.037,579,True
3/17/2020 9:39,True,2,7,31.4,68.96,62.3333,579,False
3/17/2020 9:40,True,2,7,31.4,68.8143,62.5,580,False
3/17/2020 9:43,False,2,7,31.5875,68.2125,50.2083,583,False
3/17/2020 9:52,False,2,7,31.7,68.95,41.6667,592,True
3/17/2020 9:52,False,2,7,31.7,69.1833,41.5278,592,False
3/17/2020 9:52,False,2,7,31.7,69.25,40.9375,592,False
3/17/2020 9:53,False,2,7,31.7563,68.9313,38.125,593,True
3/17/2020 9:53,False,2,7,31.8,69.15,33.3333,593,True
3/17/2020 9:53,False,2,7,31.8,69.15,33.3333,593,False
3/17/2020 9:53,False,2,7,31.7875,69.0875,31.9792,593,False
3/17/2020 9:54,False,2,7,31.8,68.95,31.5625,594,False
3/17/2020 9:54,False,2,7,31.7667,68.9,31.6667,594,False
3/17/2020 9:54,False,2,7,31.8,68.8091,31.6667,594,True
3/17/2020 9:55,False,2,7,31.8,68.8222,31.6667,595,False
3/17/2020 9:55,False,2,7,31.8,68.73,32.25,595,True
3/17/2020 9:55,False,2,7,31.8,69.1,32.5,595,True
3/17/2020 9:56,False,2,7,31.8,69.4286,32.5,596,True
3/17/2020 9:57,False,2,7,31.8,69.6125,34.5833,597,True
3/17/2020 9:57,False,2,7,31.8,69.5,36.6667,597,True
3/17/2020 9:57,False,2,7,31.8,69.45,37.9167,597,True
3/17/2020 9:57,False,2,7,31.8,69.26,40.25,597,False
3/17/2020 9:57,False,2,7,31.8,69.2,41.6667,597,False
3/17/2020 9:58,False,2,7,31.8,69.2,41.6667,598,False
3/17/2020 9:58,False,2,7,31.8,69.175,42.5,598,False
3/17/2020 9:58,False,2,7,31.8,69.55,42.5,598,False
3/17/2020 9:59,False,2,7,31.8,69.45,42.2917,599,False
3/17/2020 9:59,False,2,7,31.8125,69.4125,41.6667,599,True
3/17/2020 9:59,False,2,7,31.8,69.55,41.6667,599,True
3/17/2020 9:59,False,2,7,31.9,69.35,41.6667,599,True
3/17/2020 9:59,False,2,7,31.9,69.25,41.6667,599,True
3/17/2020 10:00,True,2,7,31.8,69.0391,33.586999999999996,600,True
3/17/2020 10:01,False,2,7,31.8,68.55,37.2917,601,False
3/17/2020 10:02,False,2,7,31.8,68.65,35.1667,602,True
3/17/2020 10:02,False,2,7,31.8,68.6,34.1667,602,False
3/17/2020 10:04,False,2,7,31.8947,68.7,34.7368,604,True
3/17/2020 10:05,False,2,7,31.85,67.3,34.1667,605,True
3/17/2020 10:05,False,2,7,31.8,67.4,34.1667,605,True
3/17/2020 10:05,False,2,7,31.85,67.45,34.1667,605,True
3/17/2020 10:05,False,2,7,31.8,67.45,34.1667,605,True
3/17/2020 10:06,False,2,7,31.86,67.5933,34.8333,606,True
3/17/2020 10:06,False,2,7,31.8727,68.0455,33.0303,606,True
3/17/2020 10:08,False,2,7,31.75,68.75,37.0833,608,True
3/17/2020 10:13,False,2,7,31.75,66.9,36.25,613,True
3/17/2020 10:14,False,2,7,31.7,67.3,36.25,614,True
3/17/2020 10:14,False,2,7,31.7,67.475,35.4167,614,True
3/17/2020 10:15,False,2,7,31.76,67.26,35.1667,615,True
3/17/2020 10:16,False,2,7,31.8,66.8,35.1852,616,True
3/17/2020 10:16,False,2,7,31.8,66.5,35.0,616,True
3/17/2020 10:17,False,2,7,31.8526,66.1737,34.3421,617,False
3/17/2020 10:18,False,2,7,31.8778,66.1222,32.6852,618,True
3/17/2020 10:18,False,2,7,31.8,66.7,30.8333,618,True
3/17/2020 10:19,False,2,7,31.8,66.7833,28.75,619,False
3/17/2020 10:19,False,2,7,31.8,66.85,27.5,619,False
3/17/2020 10:22,False,2,7,32.0,66.2833,25.5556,622,True
3/17/2020 10:23,False,2,7,32.0,66.2875,25.4167,623,True
3/17/2020 10:23,False,2,7,31.9417,66.2417,25.5556,623,True
3/17/2020 10:24,False,2,7,32.0,66.35,25.4167,624,True
3/17/2020 10:24,False,2,7,31.9,66.35,25.8333,624,True
3/17/2020 10:24,False,2,7,31.9,66.3333,25.8333,624,True
3/17/2020 10:24,False,2,7,31.9222,66.3889,25.3704,624,True
3/17/2020 10:25,False,2,7,31.9667,66.5111,25.9259,625,True
3/17/2020 10:28,False,2,7,31.95,66.8,25.8333,628,True
3/17/2020 10:29,False,2,7,31.9,67.225,26.25,629,True
3/17/2020 10:29,False,2,7,31.9,67.31,28.5833,629,True
3/17/2020 10:30,False,2,7,31.9,67.65,31.1111,630,True
3/17/2020 10:30,False,2,7,31.9,67.5875,31.3542,630,True
3/17/2020 10:32,False,2,7,31.8333,67.8,30.5556,632,True
3/17/2020 10:32,False,2,7,31.9,67.85,30.8333,632,False
3/17/2020 10:32,False,2,7,31.85,67.9,29.5833,632,True
3/17/2020 10:32,False,2,7,31.85,67.85,28.75,632,False
3/17/2020 10:32,False,2,7,31.8429,67.9,26.5476,632,False
3/17/2020 10:33,False,2,7,31.8375,68.0375,25.3125,633,True
